1,C,Halifax (QMJHL),QMJHL,NA,300
2,C,Tappara (Finland),Finland,Europe,252
3,LW,Halifax (QMJHL),QMJHL,NA,164
4,D,Portland (WHL),WHL,NA,315
5,C,Brynas (Sweden),Sweden,Europe,293
6,C,Ottawa (OHL),OHL,NA,319
7,D,Sault Ste. Marie (OHL),OHL,NA,115
8,D,TPS (Finland),Finland,Europe,273
9,C,London (OHL),OHL,NA,231
10,RW,Chelyabinsk (KHL),KHL,Europe,166
11,D,Rimouski (QMJHL),QMJHL,NA,1
12,C/LW,London (OHL),OHL,NA,140
13,D,Prince Albert (WHL),WHL,NA,83
14,C,Djurgarden (Sweden-2),Sweden-2,Europe,217
15,D,Brandon (WHL),WHL,NA,16
16,D,London (OHL),OHL,NA,145
17,C/RW,Edmonton (WHL),WHL,NA,180
18,D,Everett (WHL),WHL,NA,54
19,LW,Windsor (OHL),OHL,NA,37
20,RW,Val-D'Or (QMJHL),QMJHL,NA,70
21,C,Rimouski (QMJHL),QMJHL,NA,28
22,LW,Gatineau (QMJHL),QMJHL,NA,8
23,LW,Malmo (Sweden-2),Sweden-2,Europe,196
24,C/LW,Medicine Hat (WHL),WHL,NA,15
25,RW,USA U-18 (USHL),USHL,NA,51
26,D,Seattle (WHL),WHL,NA,53
27,C,Bratislava (KHL),KHL,Europe,107
28,LW,Regina (WHL),WHL,NA,0
29,C,Guelph (OHL),OHL,NA,11
30,RW,Plymouth (OHL),OHL,NA,84
31,D,Waterloo (USHL),USHL,NA,3
32,D,Owen Sound (OHL),OHL,NA,31
33,LW,Quebec (QMJHL),QMJHL,NA,26
34,LW,Leksand (Sweden-2),Sweden-2,Europe,64
35,LW,USA U-18 (USHL),USHL,NA,21
37,LW,Baie-Comeau (QMJHL),QMJHL,NA,2
38,C,Edina High (High-MN),High-MN,NA,0
39,C,Chicoutimi (QMJHL),QMJHL,NA,32
40,LW,London (OHL),OHL,NA,18
41,D,Modo Jr. (Sweden-Jr.),Sweden-Jr.,Europe,1
42,D,USA U-18 (USHL),USHL,NA,39
43,C,Portland (WHL),WHL,NA,80
45,RW,Quebec (QMJHL),QMJHL,NA,5
46,D,Green Bay (USHL),USHL,NA,15
47,D,Minnetonka (High-MN),High-MN,NA,0
48,RW,Owen Sound (OHL),OHL,NA,0
49,LW,Baie-Comeau (QMJHL),QMJHL,NA,0
50,D,Swift Current (WHL),WHL,NA,0
51,D,Linkoping Jr. (Sweden-Jr.),Sweden-Jr.,Europe,0
52,RW,Kitchener (OHL),OHL,NA,40
53,D,Kelowna (WHL),WHL,NA,0
55,LW,Kalpa (Finland),Finland,Europe,73
