1,C,Red Deer (WHL),WHL,NA,395
2,LW,Kitchener (OHL),OHL,NA,428
3,C,Saint John (QMJHL),QMJHL,NA,303
4,D,Skelleftea (Sweden),Sweden,Europe,353
5,C,Niagara (OHL),OHL,NA,258
6,C,Djurgarden (Sweden),Sweden,Europe,337
7,C,Barrie (OHL),OHL,NA,306
8,C,Drummondville (QMJHL),QMJHL,NA,416
9,D,Niagara (OHL),OHL,NA,341
10,D,Farjestad (Sweden),Sweden,Europe,331
11,D,Saskatoon (WHL),WHL,NA,4
12,D,Kitchener (OHL),OHL,NA,151
13,LW,Portland (WHL),WHL,NA,206
14,D,Northeastern (H-East),H-East,NA,119
15,C,USA U-18 (USHL),USHL,NA,278
16,RW,Assat (Finland),Finland,Europe,101
17,D,Saint John (QMJHL),QMJHL,NA,225
18,C,Prince Albert (WHL),WHL,NA,2
19,D,Farjestad (Sweden),Sweden,Europe,189
20,D,USA U-18 (USHL),USHL,NA,258
21,RW,Plymouth (OHL),OHL,NA,46
22,RW,USA U-18 (USHL),USHL,NA,0
23,D,Portland (WHL),WHL,NA,65
24,LW,Peterborough (OHL),OHL,NA,79
25,D,Mississauga St. Michael's (OHL),OHL,NA,12
26,LW,Victoriaville (QMJHL),QMJHL,NA,135
27,C,London (OHL),OHL,NA,201
28,C,Saint John (QMJHL),QMJHL,NA,0
29,LW,Oshawa (OHL),OHL,NA,31
30,RW,Plymouth (OHL),OHL,NA,236
31,D,Vancouver (WCHL),WCHL,NA,4
32,RW,Portland (WHL),WHL,NA,35
33,C,USA U-18 (USHL),USHL,NA,31
34,D,Youngstown (USHL),USHL,NA,36
35,RW,Saint John (QMJHL),QMJHL,NA,172
36,D,Boston University (H-East),H-East,NA,81
37,C,Oshawa (OHL),OHL,NA,267
40,C,Windsor (OHL),OHL,NA,9
41,RW,Slavia Praha (Czech),Czech,Europe,190
42,C,Leksand (Sweden-2),Sweden-2,Europe,242
43,LW,Saginaw (OHL),OHL,NA,368
44,RW,Sarnia (OHL),OHL,NA,117
45,C,HIFK Jr. (Finland-Jr.),Finland-Jr.,Europe,171
46,D,Moose Jaw (WHL),WHL,NA,136
47,LW,Boston University (H-East),H-East,NA,264
48,D,Montreal (QMJHL),QMJHL,NA,96
50,C,Frolunda (Sweden),Sweden,Europe,11
51,C,Jokerit Jr. (Finland-Jr.),Finland-Jr.,Europe,0
52,RW,Karpat (Finland),Finland,Europe,67
