1,RW,Sarnia (OHL),OHL,NA,292
2,D,Everett (WHL),WHL,NA,220
3,C,Sarnia (OHL),OHL,NA,336
4,D,Edmonton (WHL),WHL,NA,37
5,D,Moose Jaw (WHL),WHL,NA,312
6,D,Rogle Jr. (Sweden-Jr.),Sweden-Jr.,Europe,302
7,D,Red Deer (WHL),WHL,NA,228
8,D,Portland (WHL),WHL,NA,67
9,D,USA U-18 (USHL),USHL,NA,271
10,D,Peterborough (OHL),OHL,NA,41
11,C,Leksand (Sweden-2),Sweden-2,Europe,264
12,C,Quebec (QMJHL),QMJHL,NA,217
13,C,Kitchener (OHL),OHL,NA,125
14,C,Dubuque (USHL),USHL,NA,277
15,D,Ottawa (OHL),OHL,NA,284
16,RW,Plymouth (OHL),OHL,NA,313
17,C,Slavia (Czech),Czech,Europe,249
18,LW,Jokerit (Finland),Finland,Europe,196
20,C,Oshawa (OHL),OHL,NA,109
21,C,Stanstead College (High-QC),High-QC,NA,1
22,D,London (OHL),OHL,NA,220
23,D,Dubuque (USHL),USHL,NA,84
25,D,Green Bay (USHL),USHL,NA,9
26,C,Belleville (OHL),OHL,NA,77
27,C/RW,Edmonton (WHL),WHL,NA,3
28,D,USA U-18 (USHL),USHL,NA,87
29,LW,USA U-18 (USHL),USHL,NA,56
30,LW,Barrie (OHL),OHL,NA,226
32,LW,Edmonton (WHL),WHL,NA,0
33,RW,Frolunda (Sweden),Sweden,Europe,0
34,D,Karpat (Finland),Finland,Europe,0
35,D,Guelph (OHL),OHL,NA,0
36,LW,USA U-18 (USHL),USHL,NA,1
37,LW,Djurgarden (Sweden),Sweden,Europe,15
38,LW,Michigan (CCHA),CCHA,NA,77
39,C,Saskatoon (WHL),WHL,NA,0
40,D,Brampton (OHL),OHL,NA,0
41,C,Plymouth (OHL),OHL,NA,0
42,D,USA U-18 (USHL),USHL,NA,1
43,D,MODO Jr. (Sweden-Jr.),Sweden-Jr.,Europe,0
44,D,Wisconsin (WCHA),WCHA,NA,162
46,LW,Baie-Comeau (QMJHL),QMJHL,NA,0
47,LW,Guelph (OHL),OHL,NA,78
48,D,Rouyn-Noranda (QMJHL),QMJHL,NA,0
49,RW,Halifax (QMJHL),QMJHL,NA,2
50,C,Kelowna (WHL),WHL,NA,109
51,D,Saskatoon (WHL),WHL,NA,0
52,C,Shattuck-St. Mary's (High-MN),High-MN,NA,0
53,RW,Exeter (High-NH),High-NH,NA,0
54,C,Prince Albert (WHL),WHL,NA,0
55,C,London (OHL),OHL,NA,202
56,RW,St. John's Prep (High-MA),High-MA,NA,0
57,LW,Rimouski (QMJHL),QMJHL,NA,0
58,LW,Vancouver (WCHL),WCHL,NA,166
59,C,Kent School (High-CT),High-CT,NA,1
60,D,Kelowna (WHL),WHL,NA,203
61,C,Whitby (OJHL),OJHL,NA,85
63,LW,Prince George (BCHL),BCHL,NA,25
64,LW,Kamloops (WHL),WHL,NA,0
65,D,Erie (OHL),OHL,NA,53
66,LW,South Shore (EJHL),EJHL,NA,80
67,LW,Brother Rice High (High-MI),High-MI,NA,0
68,D,Shattuck-St. Mary's (High-MN),High-MN,NA,0
70,RW,Guelph (OHL),OHL,NA,8
71,C,Guelph (OHL),OHL,NA,3
72,LW,Prince George (WHL),WHL,NA,0
73,C,Saginaw (OHL),OHL,NA,0
74,D,Jokerit Jr. (Finland-Jr.),Finland-Jr.,Europe,77
77,C/LW,Regina (WHL),WHL,NA,13
78,D,Union College (ECAC),ECAC,NA,142
79,RW,Nobles (High-MA),High-MA,NA,0
81,C,Skelleftea Jr. (Sweden-Jr.),Sweden-Jr.,Europe,28
82,C/LW,Owen Sound (OHL),OHL,NA,0
84,C,Victoria (WHL),WHL,NA,0
85,D,USA U-18 (USHL),USHL,NA,2
86,D,Fort McMurray (AJHL),AJHL,NA,160
88,D,Moncton (QMJHL),QMJHL,NA,0
89,LW,Portland (WHL),WHL,NA,6
90,C/LW,Windsor (OHL),OHL,NA,0
91,LW,Belleville (OHL),OHL,NA,0
92,C/RW,Kitchener (OHL),OHL,NA,0
93,D,Djurgarden (Sweden),Sweden,Europe,41
94,C,Windsor (OHL),OHL,NA,0
95,RW,London (OHL),OHL,NA,96
96,LW,Kitchener (OHL),OHL,NA,3
97,C,Lincoln (USHL),USHL,NA,0
98,C,Nobles (High-MA),High-MA,NA,0
99,C/LW,Frolunda Jr. (Sweden-Jr.),Sweden-Jr.,Europe,0
100,C,USA U-18 (USHL),USHL,NA,0
101,C,Blainville-Boisbriand (QMJHL),QMJHL,NA,180
102,D,Okotoks (AJHL),AJHL,NA,0
103,D,Cape Breton (QMJHL),QMJHL,NA,0
104,C,Owen Sound (OHL),OHL,NA,17
105,D,Vancouver (WCHL),WCHL,NA,30
106,D,Nobles (High-MA),High-MA,NA,0
107,RW,Notre Dame (CCHA),CCHA,NA,0
108,D,Chicoutimi (QMJHL),QMJHL,NA,0
109,RW,Acadie-Bathurst (QMJHL),QMJHL,NA,0
110,C/LW,London (OHL),OHL,NA,101
111,D,Brynas Jr. (Sweden-Jr.),Sweden-Jr.,Europe,0
112,C,Shattuck-St. Mary's (High-MN),High-MN,NA,0
114,LW,Mytischi 2 (Russia-Jr.),Russia-Jr.,Europe,0
115,D,Mississauga St. Michael's (OHL),OHL,NA,2
116,D,Everett (WHL),WHL,NA,0
117,LW,Portland (WHL),WHL,NA,16
118,D,HIFK Jr. (Finland-Jr.),Finland-Jr.,Europe,0
119,D,Farjestad Jr. (Sweden-Jr.),Sweden-Jr.,Europe,0
120,D,Chicago (USHL),USHL,NA,145
121,LW,CSKA 2 (Russia-Jr.),Russia-Jr.,Europe,0
122,LW,Chicoutimi (QMJHL),QMJHL,NA,6
123,D,Denver (WCHA),WCHA,NA,0
124,D,Quebec (QMJHL),QMJHL,NA,0
125,D,Kimball Union (High-NH),High-NH,NA,0
126,C,Duluth East (High-MN),High-MN,NA,0
127,D,Fargo (USHL),USHL,NA,0
128,D,Lulea (Sweden),Sweden,Europe,0
129,LW,Wisconsin (WCHA),WCHA,NA,7
131,C,London (OHL),OHL,NA,58
132,C,Windsor (OHL),OHL,NA,0
133,C,Victoria (WHL),WHL,NA,0
134,RW,Seattle (WHL),WHL,NA,0
135,C,Swift Current (WHL),WHL,NA,0
136,C,Indiana (USHL),USHL,NA,0
137,D,USA U-18 (USHL),USHL,NA,120
138,C,St. Sebastian's (High-MA),High-MA,NA,3
139,LW,Saginaw (OHL),OHL,NA,0
140,D,Lincoln (USHL),USHL,NA,0
141,D,Merritt (BCHL),BCHL,NA,0
142,RW,Herning (Denmark),Denmark,Europe,0
143,D,Peterborough (OHL),OHL,NA,0
145,RW,Plymouth (OHL),OHL,NA,0
147,D,Nepean (CCHL),CCHL,NA,146
148,D,Blues Jr. (Finland-Jr.),Finland-Jr.,Europe,0
149,D,Moose Jaw (WHL),WHL,NA,0
150,C,Coquitlam (BCHL),BCHL,NA,0
151,D,Sault Ste. Marie (OHL),OHL,NA,103
152,RW,Rogle Jr. (Sweden-Jr.),Sweden-Jr.,Europe,0
153,RW,Cornell (ECAC),ECAC,NA,0
154,LW,MODO Jr. (Sweden-Jr.),Sweden-Jr.,Europe,0
155,D,Niagara (OHL),OHL,NA,0
156,RW,Erie (OHL),OHL,NA,89
157,C,London (OHL),OHL,NA,0
158,C,Bern (Swiss),Swiss,Europe,8
160,C,Saskatoon (WHL),WHL,NA,0
161,D,Owen Sound (OHL),OHL,NA,35
162,C/RW,Owen Sound (OHL),OHL,NA,68
164,D,Huddinge Jr. (Sweden-Jr.),Sweden-Jr.,Europe,0
165,LW,Swift Current (WHL),WHL,NA,0
167,RW,USA U-18 (USHL),USHL,NA,3
168,D,Sioux City (USHL),USHL,NA,0
169,C,Waterloo (USHL),USHL,NA,56
170,D,Toronto Lakeshore (OJHL),OJHL,NA,0
171,RW,Gatineau (QMJHL),QMJHL,NA,0
172,RW,Farjestad Jr. (Sweden-Jr.),Sweden-Jr.,Europe,0
173,RW,Shawinigan (QMJHL),QMJHL,NA,0
174,C/LW,Rimouski (QMJHL),QMJHL,NA,0
175,D,Spruce Grove (AJHL),AJHL,NA,62
176,D,Jokerit Jr. (Finland-Jr.),Finland-Jr.,Europe,40
177,LW,Victoria (WHL),WHL,NA,0
178,LW,Shattuck-St. Mary's (High-MN),High-MN,NA,0
180,C/LW,Owen Sound (OHL),OHL,NA,0
181,D,Lincoln (USHL),USHL,NA,22
182,D,Sault Ste. Marie (OHL),OHL,NA,0
183,D,Zelenograd Jr./U. Mass-Lowell (H-East),H-East,NA,0
185,D,Grand Rapids (High-MN),High-MN,NA,0
186,C,Muskegon (USHL),USHL,NA,0
187,D,Calgary (WHL),WHL,NA,0
188,LW,Edina High (High-MN),High-MN,NA,0
189,LW,Malden Catholic (High-MA),High-MA,NA,0
192,C,Kamloops (WHL),WHL,NA,1
193,D,Belleville (OHL),OHL,NA,5
194,D,Linkoping Jr. (Sweden-Jr.),Sweden-Jr.,Europe,0
195,D,Brynas Jr. (Sweden-Jr.),Sweden-Jr.,Europe,0
196,D,Mora (Sweden-2),Sweden-2,Europe,0
197,D,Calgary (WHL),WHL,NA,0
198,D,Cornell (ECAC),ECAC,NA,0
200,LW,Ostersunds (Sweden),Sweden,Europe,0
201,D,Spartak 2 (Russia-Jr.),Russia-Jr.,Europe,0
