1,C,London (OHL),OHL,NA,587
2,D,MoDo Ornskoldsvik ( ), ,Europe,549
3,C,Brampton (OHL),OHL,NA,572
4,LW,Vancouver (WCHL),WCHL,NA,496
5,C,Brandon (WHL),WHL,NA,433
6,D,Leksand (Sweden-2),Sweden-2,Europe,494
7,C,London (OHL),OHL,NA,408
8,RW,Brandon (WHL),WHL,NA,1
9,D,Spokane (WHL),WHL,NA,249
10,LW,Timra ( ), ,Europe,308
11,D,Windsor (OHL),OHL,NA,352
12,D,Oshawa (OHL),OHL,NA,271
13,RW,Peterborough (OHL),OHL,NA,313
14,D,Drummondville (QMJHL),QMJHL,NA,507
15,C,Guelph (OHL),OHL,NA,243
16,D,Eden Prairie (High-MN),High-MN,NA,498
17,D,Skelleftea (Sweden),Sweden,Europe,113
18,C,Omaha Jr. A (USHL),USHL,NA,50
19,C,Andover (High-MA),High-MA,NA,323
20,C,Djurgarden,#N/A,Europe,276
21,D,Chicago Steel (USHL),USHL,NA,366
22,C,U. of Minnesota (WCHA),WCHA,NA,144
23,D,Skelleftea (Sweden),Sweden,Europe,93
24,C/W,Farjestad ( ), ,Europe,501
25,RW,Rimouski (QMJHL),QMJHL,NA,157
26,RW,U.S. National U-18 (USNTDP),USNTDP,NA,360
27,C,Shawinigan (QMJHL),QMJHL,NA,0
28,D,Camrose (AJHL),AJHL,NA,124
29,RW,Lethbridge (WHL),WHL,NA,54
30,D,Saint John (QMJHL),QMJHL,NA,193
32,C,Red Deer (WHL),WHL,NA,75
33,C,Erie (OHL),OHL,NA,570
34,LW,Vastra Frolunda Jr. ( ), ,Europe,12
35,LW,Barrie (OHL),OHL,NA,485
36,C,U.S. National U-18 (USNTDP),USNTDP,NA,23
37,D,Brampton (OHL),OHL,NA,9
38,RW,Des Moines (USHL),USHL,NA,320
39,LW,Brynas Gavle (Sweden),Sweden,Europe,342
40,C,Timra ( ), ,Europe,215
41,RW,Edina (High-MN),High-MN,NA,0
42,D,Shawinigan (QMJHL),QMJHL,NA,0
43,D,U.S. National U-18 (USNTDP),USNTDP,NA,0
44,C,U.S. National U-18 (USNTDP),USNTDP,NA,94
45,LW,U.S. National U-18 (USNTDP),USNTDP,NA,82
47,C,Kingston (OHL),OHL,NA,0
48,D,Portland (WHL),WHL,NA,0
49,D,Saskatoon (WHL),WHL,NA,84
50,RW,U.S. National U-18 (USNTDP),USNTDP,NA,0
51,D,N.H. Jr. Monarchs (EJHL),EJHL,NA,163
52,RW,Trinec,#N/A,Europe,263
53,RW,Brynas Gavle Jr. (Sweden-Jr.),Sweden-Jr.,Europe,3
54,D,Lewiston (QMJHL),QMJHL,NA,189
55,D,Novokuznetsk (KHL),KHL,Europe,283
56,C,U.S. National U-18 (USNTDP),USNTDP,NA,0
57,D,Kingston (OHL),OHL,NA,0
58,D,Windsor (OHL),OHL,NA,1
59,C,Georgetown (OJHL),OJHL,NA,226
60,C,Zvolen (Slovakia),Slovakia,Europe,345
61,D,Chicago Steel (USHL),USHL,NA,13
63,W,Little Falls (High-MN),High-MN,NA,16
64,D,Kelowna (WHL),WHL,NA,338
65,C,Blues Espoo Jr. (Finland-Jr.),Finland-Jr.,Europe,1
66,D,Kootenay (WHL),WHL,NA,238
67,RW,Fargo (USHL),USHL,NA,0
68,LW,Plymouth (OHL),OHL,NA,2
69,RW,St. Michael's (OJHL),OJHL,NA,365
70,RW,Guelph (OHL),OHL,NA,92
71,D,Minnetonka (High-MN),High-MN,NA,0
72,C,Guelph (OHL),OHL,NA,113
73,D,Djurgarden,#N/A,Europe,34
74,LW,Chilliwack (WHL),WHL,NA,0
75,RW,Victoriaville (QMJHL),QMJHL,NA,128
78,RW,Lada Togliatti,#N/A,Europe,0
79,D,Hotchkiss (High-CT),High-CT,NA,0
80,C,U.S. National U-18 (USNTDP),USNTDP,NA,1
82,RW,Everett (WHL),WHL,NA,0
83,D,Western Michigan (CCHA),CCHA,NA,187
84,D,Rouyn-Noranda (QMJHL),QMJHL,NA,211
85,C,Swift Current (WHL),WHL,NA,379
86,D,Prince Albert (WHL),WHL,NA,0
87,D,Brynas Gavle (Sweden),Sweden,Europe,0
