1,D,BARRIE (OHL),OHL,NA,227
2,C,KOOTENAY (WHL),WHL,NA,167
3,C,PRINCE ALBERT (WHL),WHL,NA,191
4,C,KINGSTON (OHL),OHL,NA,159
5,LW,OSHAWA (OHL),OHL,NA,0
6,RW,CALGARY (WHL),WHL,NA,65
7,D,RED DEER (WHL),WHL,NA,0
8,C/RW,MODO (Sweden),Sweden,Europe,103
9,LW,HALIFAX (QMJHL),QMJHL,NA,154
10,LW,PETERBOROUGH (OHL),OHL,NA,110
11,LW,HV 71 JR. (Sweden-Jr.),Sweden-Jr.,Europe,60
12,LW,NIAGARA (OHL),OHL,NA,57
13,L/RW,LINKOPING (Sweden),Sweden,Europe,21
14,D,SWIFT CURRENT (WHL),WHL,NA,16
15,C,USA U-18 (USHL),USHL,NA,160
16,LW,USA U-18 (USHL),USHL,NA,7
17,D,CALGARY (WHL),WHL,NA,0
18,RW,USA U-18 (USHL),USHL,NA,6
19,D,SARNIA (OHL),OHL,NA,39
20,C,GREEN BAY (USHL),USHL,NA,61
21,C,GUELPH (OHL),OHL,NA,123
22,RW,KALPA (Finland),Finland,Europe,17
23,C,RED DEER (WHL),WHL,NA,0
24,C,SAULT STE. MARIE (OHL),OHL,NA,98
25,RW,SODERTALJE (Sweden-2),Sweden-2,Europe,172
26,RW,SASKATOON (WHL),WHL,NA,3
27,RW,SARNIA (OHL),OHL,NA,23
28,C/RW,WINDSOR (OHL),OHL,NA,21
29,LW,MODO (Sweden),Sweden,Europe,25
30,C,BRANDON (WHL),WHL,NA,12
31,LW,BARRIE (OHL),OHL,NA,0
32,C,BRANDON (WHL),WHL,NA,0
33,C/LW,MONCTON (QMJHL),QMJHL,NA,30
35,D,SLAVIA JR. (Czech),Czech,Europe,0
38,D,SKELLEFTEA JR. (Sweden-Jr.),Sweden-Jr.,Europe,0
40,D,DJURGARDEN (Sweden-2),Sweden-2,Europe,5
41,D,INDIANA (USHL),USHL,NA,0
42,LW,MAGNITOGORSK 2 (Russia-Jr.),Russia-Jr.,Europe,2
43,C,KITCHENER (OHL),OHL,NA,0
44,C,PETERBOROUGH (OHL),OHL,NA,0
45,LW,EDMONTON (WHL),WHL,NA,0
46,D,FROLUNDA JR. (Sweden-Jr.),Sweden-Jr.,Europe,0
47,D,USA U-18 (USHL),USHL,NA,0
48,RW,VAL-D'OR (QMJHL),QMJHL,NA,0
49,RW,GATINEAU (QMJHL),QMJHL,NA,0
50,D,KINGSTON (OHL),OHL,NA,0
51,D,USA U-18 (USHL),USHL,NA,0
52,C,YOUNGSTOWN (USHL),USHL,NA,0
53,RW,GENEVE JR. (SWISS-JR.),SWISS-JR.,Europe,0
54,RW,OSHAWA (OHL),OHL,NA,0
55,D,WATERLOO (USHL),USHL,NA,27
56,C,DEXTER SCHOOL (High-MA),High-MA,NA,0
57,D,USA U-18 (USHL),USHL,NA,0
58,LW,LONDON (OHL),OHL,NA,78
60,D,OTTAWA (OHL),OHL,NA,0
62,LW,KELOWNA (WHL),WHL,NA,0
63,C,PORTLAND (WHL),WHL,NA,0
64,D,SPRUCE GROVE (AJHL),AJHL,NA,0
65,RW,ASSAT JR. (Finland-Jr.),Finland-Jr.,Europe,0
66,D,YEKATERINBURG (Russia),Russia,Europe,79
67,LW,ST. ANDREWS (HIGH-ON),HIGH-ON,NA,0
68,D,KOOTENAY (WHL),WHL,NA,10
69,D,USA U-18 (USHL),USHL,NA,0
70,D,RIVERS ACADEMY (High-MA),High-MA,NA,0
71,RW,PLYMOUTH (OHL),OHL,NA,0
72,RW,PORTLAND (WHL),WHL,NA,0
73,D,SWIFT CURRENT (WHL),WHL,NA,3
74,D,SWIFT CURRENT (WHL),WHL,NA,0
75,D,PLYMOUTH (OHL),OHL,NA,0
77,D,NIAGARA (OHL),OHL,NA,0
79,C,MOOSE JAW (WHL),WHL,NA,68
80,D,USA U-18 (USHL),USHL,NA,0
81,LW,SAGINAW (OHL),OHL,NA,0
82,D,TORONTO JC (OJHL),OJHL,NA,0
83,RW,MUSKEGON (USHL),USHL,NA,0
84,D,NORTH BAY (OHL),OHL,NA,0
85,C/RW,PORTLAND (WHL),WHL,NA,0
86,D,WATERLOO (USHL),USHL,NA,0
87,RW,FROLUNDA JR. (Sweden-Jr.),Sweden-Jr.,Europe,0
88,C/LW,SOUTH SHORE (USPHL),USPHL,NA,0
89,LW,HERSHEY (AHL),AHL,NA,0
90,C,NORTH BAY (OHL),OHL,NA,0
91,D,FROLUNDA JR. (Sweden-Jr.),Sweden-Jr.,Europe,0
92,RW,USA U-18 (USHL),USHL,NA,0
93,RW,KITCHENER (OHL),OHL,NA,0
96,D,PLYMOUTH (OHL),OHL,NA,0
97,C,LULEA (Sweden),Sweden,Europe,8
98,LW,CHICAGO (USHL),USHL,NA,0
99,C,PORTLAND (WHL),WHL,NA,2
100,C/LW,DUBUQUE (USHL),USHL,NA,0
101,D,SASKATOON (WHL),WHL,NA,10
102,D,BAIE-COMEAU (QMJHL),QMJHL,NA,0
103,RW,YOUNGSTOWN (USHL),USHL,NA,0
104,D,INDIANA (USHL),USHL,NA,0
105,D,TORONTO LAKESHORE (OJHL),OJHL,NA,0
