1,RW,London (OHL),OHL,NA,740
2,LW,U.S. National U-18 (USNTDP),USNTDP,NA,528
3,C,Burnaby (BCHL),BCHL,NA,533
4,D,Seattle (WHL),WHL,NA,340
5,D,Calgary (WHL),WHL,NA,591
6,C,London (OHL),OHL,NA,696
7,RW,Halifax (QMJHL),QMJHL,NA,686
8,C,Everett (WHL),WHL,NA,20
9,C,Ottawa (OHL),OHL,NA,504
10,D,Kamloops (WHL),WHL,NA,212
11,C/RW,Red Deer (WHL),WHL,NA,596
12,D,Cretin-Derham (High-MN),High-MN,NA,467
13,C,Vastra Frolunda Jr. ( ), ,Europe,523
14,D,U.S. National U-18 (USNTDP),USNTDP,NA,490
15,D,Calgary (WHL),WHL,NA,10
16,LW,Saskatoon (WHL),WHL,NA,154
17,RW,Avangard Omsk ( ), ,Europe,0
18,D,U.S. National U-18 (USNTDP),USNTDP,NA,338
19,C,Halifax (QMJHL),QMJHL,NA,0
20,C,Quebec (QMJHL),QMJHL,NA,0
21,C,Salmon Arm (BCHL),BCHL,NA,323
22,LW,Sioux City (USHL),USHL,NA,562
23,D,Vancouver (WCHL),WCHL,NA,110
24,C,Vasteras,#N/A,Europe,461
25,C,Tri-City (USHL),USHL,NA,0
26,LW,Lewiston (QMJHL),QMJHL,NA,652
27,D,St. Michael's,#N/A,NA,309
28,D,Omaha Jr. A (USHL),USHL,NA,1
29,C,U. of Minnesota (WCHA),WCHA,NA,67
30,D,Regina (WHL),WHL,NA,0
31,D,St. John's (QMJHL),QMJHL,NA,53
32,LW,Oshawa (OHL),OHL,NA,18
33,D,Everett (WHL),WHL,NA,0
34,D,Sault Ste. Marie (OHL),OHL,NA,0
35,D,Westminster (High-CT),High-CT,NA,3
37,RW,Mississauga (OHL),OHL,NA,0
38,LW,Colorado College ( ), ,NA,3
39,RW,Vastra Frolunda Jr. ( ), ,Europe,0
40,RW,Vancouver (WCHL),WCHL,NA,72
41,D,Lewiston (QMJHL),QMJHL,NA,10
42,C,Belleville (OHL),OHL,NA,144
43,D,Belleville (OHL),OHL,NA,500
44,RW,Des Moines (USHL),USHL,NA,68
45,D,Lincoln (USHL),USHL,NA,3
46,D,U.S. National U-18 (USNTDP),USNTDP,NA,0
47,C/RW,Prince George (WHL),WHL,NA,135
50,C,Virginia (High-MN),High-MN,NA,0
51,C,Victoriaville (QMJHL),QMJHL,NA,0
52,C,Chilliwack (WHL),WHL,NA,87
53,D,Gaylord (High-MI),High-MI,NA,0
55,LW,Dartmouth College ( ), ,NA,321
56,RW,Sudbury (OHL),OHL,NA,7
57,LW,U.S. National U-18 (USNTDP),USNTDP,NA,0
58,C,Kitchener (OHL),OHL,NA,437
59,D,Mississauga (OHL),OHL,NA,0
60,LW,Quebec (QMJHL),QMJHL,NA,0
61,RW,Owen Sound (OHL),OHL,NA,687
62,D,Sarnia (OHL),OHL,NA,11
63,C,Rouyn-Noranda (QMJHL),QMJHL,NA,29
64,RW,Dynamo Moscow ( ), ,Europe,0
65,C,Rimouski (QMJHL),QMJHL,NA,0
66,LW,Saskatoon (WHL),WHL,NA,0
67,RW,Vancouver (WCHL),WCHL,NA,25
68,W,Sioux Falls (USHL),USHL,NA,0
69,C,Rimouski (QMJHL),QMJHL,NA,0
70,D,Kootenay (WHL),WHL,NA,3
71,RW,Chelyabinsk ( ), ,Europe,55
72,C/LW,Spokane (WHL),WHL,NA,179
73,D,Kitchener (OHL),OHL,NA,347
74,RW,Oshawa (OHL),OHL,NA,0
75,C,GCK Zurich Jr. (Swiss-Jr.),Swiss-Jr.,Europe,0
76,LW,Lincoln (USHL),USHL,NA,0
