1,D,U.S. National U-18 (USNTDP),USNTDP,NA,575
2,C,Peterborough (OHL),OHL,NA,764
3,C,U. of North Dakota (WCHA),WCHA,NA,717
4,C,Brynas Gavle (Sweden),Sweden,Europe,734
5,RW,U. of Minnesota (WCHA),WCHA,NA,832
6,C,Drummondville (QMJHL),QMJHL,NA,644
7,RW,Des Moines (USHL),USHL,NA,594
8,C,Everett (WHL),WHL,NA,297
9,C,Cape Breton (QMJHL),QMJHL,NA,394
10,LW,Poldi Kladno,Czech,Europe,658
12,RW,Barrie (OHL),OHL,NA,672
13,C,Poldi Kladno,Czech,Europe,446
14,RW,Spokane (WHL),WHL,NA,473
16,D,Prince George (WHL),WHL,NA,26
17,C,Des Moines (USHL),USHL,NA,506
18,RW,Kingston (OHL),OHL,NA,598
19,D,Michigan (CCHA),CCHA,NA,0
20,D,Apple Valley (High-MN),High-MN,NA,0
21,D,Owen Sound (OHL),OHL,NA,45
22,RW,Gatineau (QMJHL),QMJHL,NA,656
24,D,Vasteras,Sweden,Europe,0
25,C,Vasteras,Sweden,Europe,637
27,D,Rouyn-Noranda (QMJHL),QMJHL,NA,5
28,LW,Sudbury (OHL),OHL,NA,696
29,D,U.S. National U-18 (USNTDP),USNTDP,NA,70
30,D,Saginaw (OHL),OHL,NA,34
31,C,Vitkovice ( ),Czech,Europe,6
32,D,Brainerd (High-MN),High-MN,NA,1
33,RW,Krylja Sovetov ( ),Russia,Europe,0
35,RW,Baie-Comeau (QMJHL),QMJHL,NA,0
36,LW,Ottawa (OHL),OHL,NA,522
37,D,Cherepovets ( ),Russia,Europe,0
38,C,Halifax (QMJHL),QMJHL,NA,0
39,RW,Sioux Falls (USHL),USHL,NA,183
40,C,Everett (WHL),WHL,NA,0
41,C,Kingston (OHL),OHL,NA,139
42,D,U.S. National U-18 (USNTDP),USNTDP,NA,0
43,C,Moose Jaw (WHL),WHL,NA,0
44,LW,Magnitogorsk (Russia),Russia,Europe,656
45,D,Des Moines (USHL),USHL,NA,445
47,C,Belleville (OHL),OHL,NA,524
48,D,Quebec (QMJHL),QMJHL,NA,0
49,C,Kootenay (WHL),WHL,NA,47
50,LW,Vancouver (WCHL),WCHL,NA,729
51,D,U.S. National U-18 (USNTDP),USNTDP,NA,0
52,D,Burnaby (BCHL),BCHL,NA,0
53,D,Acadie-Bathurst (QMJHL),QMJHL,NA,3
54,C,Lokomotiv Yaroslavl 2,Russia,Europe,553
55,D,Lada Togliatti,Russia,Europe,0
56,C,U.S. National U-18 (USNTDP),USNTDP,NA,55
57,D,Windsor (OHL),OHL,NA,351
58,LW,Lokomotiv Yaroslavl 2,Russia,Europe,18
59,C,Brandon (WHL),WHL,NA,0
60,LW,Assat Pori ( ), ,Europe,129
61,D,U. Of Maine ( ), ,NA,0
62,W,Huddinge ( ), ,Europe,0
63,D,U.S. National U-18 (USNTDP),USNTDP,NA,348
64,D,Linkoping ( ), ,Europe,4
65,D,U.S. National U-18 (USNTDP),USNTDP,NA,187
66,C,Calgary (WHL),WHL,NA,313
67,D,Alemetjevsk (Russia),Russia,Europe,0
68,D,Green Bay (USHL),USHL,NA,258
70,W,Vastra Frolunda Jr. ( ), ,Europe,0
71,LW,Moncton (QMJHL),QMJHL,NA,534
72,RW,Oshawa (OHL),OHL,NA,638
73,RW,Everett (WHL),WHL,NA,0
75,D,Owen Sound (OHL),OHL,NA,160
76,C,Sodertalje Jr. (Sweden-Jr.),Sweden-Jr.,Europe,0
77,RW,CSKA Moscow 2 (Russia),Russia,Europe,82
78,D,Salisbury (High-CT),High-CT,NA,6
79,C,Bowling Green ( ), ,NA,14
80,RW,Thief River Falls (High-MN),High-MN,NA,0
81,C,U.S. National U-18 (USNTDP),USNTDP,NA,0
82,D,Bjorkloven Jr. ( ), ,Europe,0
83,D,Brampton (OHL),OHL,NA,0
